Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-02-08,70854.8203125,71906.64625506074,70376.71761133603,71715.40517459514,20810708
2024-02-13,71906.671875,71906.671875,71141.7072805851,71524.18957779255,21966745
2024-02-14,70759.203125,71046.06475929054,70472.34149070946,70472.34149070946,12434945
2024-02-15,69994.2421875,71141.6887807377,69803.00108862705,70950.44768186475,14120600
2024-02-16,69611.765625,70185.48896806319,69324.90395346841,70089.86841088599,13444781
2024-02-19,70567.9609375,70663.58148077576,69611.75550474256,69611.75550474256,12726404
2024-02-20,70089.859375,70472.34155439973,69611.75665075034,70472.34155439973,14681477
2024-02-21,69803.0078125,70472.35172303082,69707.38725385275,70185.49004708904,11503495
2024-02-22,69898.6171875,70663.58153428523,69516.13501410739,70567.96099093708,15208934
2024-02-23,69707.390625,70950.45794753087,69707.390625,70376.73456790124,16225166
2024-02-26,69611.765625,69994.24785370879,69038.04228193681,69133.66283911401,14669352
2024-02-27,69707.390625,70185.49344135803,69516.1494984568,69898.63175154322,13201981
2024-02-28,69994.2421875,70663.58603355533,69611.7599897541,69707.38053919058,11795859
2024-02-29,70185.484375,70185.484375,68846.79666212534,69420.51996764305,21176403
2024-03-04,71619.7890625,71715.40960864486,70759.20414719626,71046.06578563084,23210474
2024-03-05,70472.3359375,71524.16184701493,70472.3359375,71332.92077255767,19505125
2024-03-06,69707.390625,70281.11400462964,69516.1494984568,69994.25231481482,21547905
2024-03-07,69038.046875,70089.87307392659,69038.046875,69898.63194684904,14516963
2024-03-08,70089.859375,70185.47991984994,69420.51556105047,69611.75665075034,19271349
2024-03-11,69229.2734375,69898.61724145373,69133.65289407804,69707.37615460981,9740504
2024-03-12,70089.859375,70281.10046469986,68942.41283680082,69420.51556105047,13011654
2024-03-13,70854.8203125,70854.8203125,70281.09707110324,70472.33815156882,15243134
2024-03-14,71046.078125,71237.31925050472,70376.73418573351,71141.69868775236,22545539
2024-03-15,69133.65625,70472.34392289074,69133.65625,70185.48227869986,22580555
2024-03-18,69611.765625,69803.0067393544,69324.90395346841,69420.52451064561,11520348
2024-03-19,69611.765625,69803.0067393544,68559.93949605082,69133.66283911401,15376066
2024-03-20,73532.2109375,73819.0726186606,70185.4913239597,70472.35300512028,50106297
2024-03-21,75827.0859375,75827.0859375,74297.15734355296,75731.4654003783,44569799
2024-03-22,75444.6171875,76400.82272853295,74392.79109236375,76113.96106622307,26724761
2024-03-25,74775.2734375,76305.20230578644,74392.7912204284,76113.96119725064,18703996
2024-03-26,76400.8203125,76592.06141465895,75731.47645494368,76209.57921034105,30551494
2024-03-27,76305.203125,76496.44423558898,75731.47979323308,75731.47979323308,17424595
2024-03-28,77612.515625,77804.62581219058,76075.63412747525,76267.74431466583,25084812
2024-03-29,79149.3828125,79245.43788872876,77708.55666906857,77996.72189775486,27126366
2024-04-01,78765.171875,80013.88801448171,78765.171875,79917.83292682926,20116513
2024-04-02,81646.8203125,81646.8203125,79629.66357536765,79629.66357536765,37077944
2024-04-03,80782.3359375,81646.83180365636,80206.00536006242,80974.44612997919,30493347
2024-04-04,81934.984375,82127.09453766119,80974.43356169402,81838.9292936694,25248934
2024-04-05,81166.546875,81646.82230029585,80494.1612795858,81166.546875,18883752
2024-04-08,81166.546875,82607.37315088758,81166.546875,81838.9324704142,18953232
2024-04-09,80302.046875,81550.76291492225,79821.7714750299,81166.54259494618,23725956
2024-04-11,80782.3359375,81358.66651493758,79245.45439766647,79917.84007134364,25538009
2024-04-12,80398.109375,81550.77044130824,79917.8339307049,81358.66026359021,17061770
2024-04-15,78957.296875,79917.84793187348,77996.74581812652,79629.68261481143,26663772
2024-04-16,76844.0703125,78092.78645507812,76267.73978515626,77996.7313671875,31949845
2024-04-17,75787.46875,77612.51552598226,75787.46875,77516.46043250951,22611631
2024-04-18,76459.8515625,76940.1270120132,75211.1353937657,75691.41084327889,21370190
2024-04-19,74538.7578125,75595.36391551225,73290.04150894008,75211.14351441688,31317563
2024-04-22,73097.921875,74442.69310528909,72137.37099622207,74346.6380174113,30469477
